"","Q26","Q5Post","Q3FUS_Yes","Q3FUS_No","Q3Post","sp43fatheduc","sp44motheduc","sq39jobl","sp61pay","sq41preparealll","sp54homesup","sp47mpersonparent","sp41weak","sqr25grade","sqr29confident","sq48gradel","switcher_group","is_switcher","fath_educ","moth_educ","work","class","pay","sum_ses","low_ses","weak","end_grad","ability","sum_belief","no_belief","homesupp","parent_belief","sum_home","no_home_supp"
"401","Yes","Yes"," "," ","Yes","Graduate school","Four years of college",0,"Disagree",35,"Very strongly","4","Disagree",3,"Strongly agree",2,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"402","Yes","Yes"," "," ","Yes","High school","Some college",0,"Slightly agree",35,"Somewhat","4","Disagree",3,"Slightly disagree",3,16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,TRUE,2,TRUE,TRUE,FALSE,1,TRUE
"403","Yes","Yes"," "," ","Yes","Four years of college","High school",0,"Disagree",13,"Very strongly","Very much","Slightly disagree",3,"Agree",3,16,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"404","Dont know/ Not sure/ N/A","Yes"," "," ","Dont know/ Not sure/ N/A","High school","High school",18,"Agree",35,"Strongly","Very much","Agree",1,"Strongly disagree",1,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE,FALSE,TRUE,2,TRUE,FALSE,FALSE,0,FALSE
"405","Yes","Yes"," ","No","Yes","Some college","Four years of college",35,"Slightly agree",8,"Somewhat","4","Slightly disagree",3,"Agree",3,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"406","Dont know/ Not sure/ N/A","Yes","Yes"," ","Yes","Four years of college","Graduate school",0,"Disagree",25.5,"Very strongly","Very much","Slightly disagree",3,"Slightly agree",4,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"407","Yes","","Yes"," ","Yes","High school","High school",3,"Agree",8,"Strongly","3","Slightly disagree",3,"Agree",3,12,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"408","Yes","Yes"," "," ","Yes","Graduate school","Some college",0,"Agree",8,"Strongly","4","Slightly agree",3,"Slightly agree",3,16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"409","Yes","Yes"," "," ","Yes","Some college","Some college",13,"Slightly agree",35,"Very strongly","3","Slightly agree",3,"Slightly agree",4,16,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"410","Yes","No"," ","No","No","Four years of college","Some college",18,"Agree",8,"Strongly","4","Slightly disagree",3,"Agree",2,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"411","Dont know/ Not sure/ N/A","Yes"," "," ","No","Four years of college","Graduate school",8,"Slightly disagree",25.5,"Strongly","4","Slightly agree",3,"Slightly disagree",3,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,FALSE,0,FALSE
"412","Yes","Yes"," "," ","Yes","Graduate school","Graduate school",18,"Strongly disagree",13,"Very strongly","4","Slightly disagree",3,"Strongly agree",3,16,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"413","Yes","Yes","Yes"," ","Yes","Graduate school","Four years of college",0,"Disagree",35,"Very strongly","4","Slightly disagree",3,"Agree",2,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"414","Yes","Yes","Yes"," ","Yes","High school","Some college",0,"Strongly agree",25.5,"Somewhat","4","Slightly disagree",4,"Agree",3,12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"415","Yes","Yes","Yes"," ","Yes","Graduate school","Four years of college",8,"Disagree",13,"Very strongly","3","Slightly agree",3,"Agree",3,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"416","Yes","Yes"," "," ","Yes","Some college","High school",0,"Strongly agree",18,"Very strongly","Very much","Slightly agree",3,"Agree",3,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"417","Yes","Yes"," "," ","Yes","Some college","Some college",13,"Slightly agree",13,"Somewhat","3","Slightly disagree",4,"Slightly agree",3,16,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"418","Yes","Dont know/ Not sure/ N/A"," "," ","Dont know/ Not sure/ N/A","Four years of college","Some college",0,"Disagree",18,"Somewhat","3","Disagree",4,"Slightly agree",4,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"419","Yes","Yes"," ","No","Yes","Four years of college","Four years of college",18,"Agree",8,"Strongly","Very much","Slightly disagree",4,"Strongly agree",4,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"420","Yes","Yes"," "," ","Yes","Four years of college","Four years of college",35,"Slightly disagree",18,"Somewhat","4","Disagree",4,"Agree",4,16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"421","Yes","Yes"," "," ","Yes","High school","High school",35,"Slightly agree",8,"Very strongly","Very much","Disagree",4,"Strongly agree",4,16,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"422","Yes","Yes","Yes"," ","Yes","Some college","Some college",25.5,"Strongly agree",25.5,"Strongly","4","Disagree",3,"Slightly agree",1,12,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"423","Yes","Yes"," "," ","Yes","Graduate school","Some college",8,"Slightly disagree",18,"Very strongly","Very much","Slightly agree",2,"Slightly agree",2,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"424","Yes","Yes"," "," ","Yes","Graduate school","Four years of college",0,"Slightly agree",3,"Strongly","Not at all","Slightly disagree",2,"Slightly agree",2,16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE
